,Ссылка,Название,Цена,Рассрочка,Диагональ экрана,Разрешение экрана,Частота обновления экрана,Тип матрицы,Процессор,Видеокарта,Размер оперативной памяти,Тип жесткого диска,Общий объем накопителей
259,https://kaspi.kz/shop/p/msi-alpha-15-b5eek-089xkz-chernyi-104363501/?c=710000000,Ноутбук MSI Alpha 15 B5EEK-089XKZ черный,724 700 ₸,45 850 ₸,15.6 дюйм,1920x1080 Full HD,144 Гц,IPS,AMD Ryzen 7-5800H,AMD Radeon RX 6600M,16 ГБ,SSD,512 ГБ
260,https://kaspi.kz/shop/p/apple-macbook-pro-16-mvvm2-serebristyi-100397588/?c=710000000,Ноутбук Apple MacBook Pro 16 MVVM2 серебристый,2 450 008 ₸,155 004 ₸,16 дюйм,3072x1920,60 Гц,IPS,Intel Core i9 9880H,AMD Radeon 5500,16 ГБ,SSD,1000 ГБ
261,https://kaspi.kz/shop/p/asus-rog-strix-g17-g713rw-kh034w-90nr08h4-m000z0-seryi-106414266/?c=710000000,Ноутбук ASUS ROG Strix G17 G713RW-KH034W 90NR08H4-M000Z0 серый,1 699 993 ₸,107 553 ₸,17.3 дюйм,1920x1080 Full HD,360 Гц,IPS,AMD Ryzen 9 6900HX,NVIDIA GeForce RTX 3070 Ti,16 ГБ,SSD,1000 ГБ
262,https://kaspi.kz/shop/p/hp-elitebook-850-g8-401f0ea-serebristyi-106603465/?c=710000000,Ноутбук HP EliteBook 850 G8 401F0EA серебристый,739 890 ₸,46 811 ₸,15.6 дюйм,1920x1080,60 Гц,IPS,Intel Core i7 1165G7,Intel Iris Xe,16 ГБ,SSD,512 ГБ
263,https://kaspi.kz/shop/p/dell-vostro-3510-210-azzu-a16-seryi-106565603/?c=710000000,Ноутбук DELL Vostro 3510 210-AZZU-A16 серый,454 900 ₸,28 780 ₸,15.6 дюйм,1920x1080 Full HD,60 Гц,VA,Intel Core i5 1135G7,Intel Iris Xe,16 ГБ,SSD,512 ГБ
264,https://kaspi.kz/shop/p/hp-victus-16-e1047ci-725w5ea-temno-seryi-107312577/?c=710000000,Ноутбук HP VICTUS 16-E1047CI 725W5EA темно-серый,597 990 ₸,37 833 ₸,16.1 дюйм,1920x1080 Full HD,60 Гц,IPS,AMD Ryzen 5 6600H,NVIDIA GeForce RTX 3050 Ti,16 ГБ,SSD,1000 ГБ
265,https://kaspi.kz/shop/p/apple-macbook-pro-16-2023-mnw93-seryi-108645788/?c=710000000,Ноутбук Apple MacBook Pro 16 2023 MNW93 серый,1 699 990 ₸,107 553 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,miniLED,Apple M2 Pro,Apple M2 Pro 19-Core,16 ГБ,SSD,1024 ГБ
266,https://kaspi.kz/shop/p/apple-macbook-pro-16-2023-mnw83-seryi-108645654/?c=710000000,Ноутбук Apple MacBook Pro 16 2023 MNW83 серый,1 574 990 ₸,99 645 ₸,16.2 дюйм,"3456x2234, Liquid Retina XDR",120 Гц,miniLED,Apple M2 Pro,Apple M2 Pro 19-Core,16 ГБ,SSD,512 ГБ
267,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-15ach6-82k2002ark-chernyi-105087579/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 82K2002ARK черный,698 892 ₸,44 217 ₸,15.6 дюйм,1920x1080,120 Гц,IPS,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050 4GB GDDR6,16 ГБ,SSD,512 ГБ
268,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-16iah7-82sa00dlrk-seryi-107332615/?c=710000000,Ноутбук Lenovo IdeaPad Gaming 3 16IAH7 82SA00DLRK серый,901 531 ₸,57 037 ₸,16 дюйм,1920x1200 Full HD+,165 Гц,IPS,Intel Core i7 12700H,NVIDIA GeForce RTX 3060,16 ГБ,SSD,1024 ГБ
